index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class
0,Empty,empty,empty,0,void
1,Wall,wall,wall,1,wall
2,Ceiling,ceiling,ceiling,1,ceiling
3,Floor,floor,floor,1,floor
4,Box,unknown,unknown,2,void
5,100,hangers,hangers,2,cabinet
6,101,kitchen_cabinet,kitchen_cabinet,2,counter
7,102,refrigerator,kitchen_appliance,2,refridgerator
8,104,desk,desk,2,desk
9,105,desk,desk,2,desk
10,106,office_chairs,office_chairs,2,chair
11,107,desk,desk,2,desk
12,108,desk,desk,2,desk
13,109,coffee_table,coffee_table,2,table
14,110,tvs,tvs,2,television
15,111,tvs,tvs,2,television
16,112,tvs,tvs,2,television
17,113,tvs,tvs,2,television
18,114,tvs,tvs,2,television
19,115,tv_bench,tv_bench,2,cabinet
20,116,tv_bench,tv_bench,2,cabinet
21,117,tv_bench,tv_bench,2,cabinet
22,118,hangers,hangers,2,cabinet
23,119,coffee_table,coffee_table,2,table
24,120,computer,computer,2,television
25,121,closets_wardrobes_cabinets,closets_wardrobes_cabinets,2,cabinet
26,122,door,door,2,door
27,123,hangers,hangers,2,cabinet
28,124,wall_lamp,wall_lamp,2,lamp
29,125,kitchen_cabinet,kitchen_cabinet,2,counter
30,126,windows,windows,2,window
31,127,wall_lamp,wall_lamp,2,lamp
32,128,stand,stand,2,night_stand
33,129,dresser,dresser,2,dresser
34,130,plants,plants,2,otherprop
35,131,refrigerator,kitchen_appliance,2,refridgerator
36,132,wash_basins,wash_basins,2,sink
37,133,door,door,2,door
38,134,table_and_chair,table_and_chair,2,table
39,135,shower,shower,2,shower_curtain
40,136,fishtank,toys,2,otherprop
41,137,kitchen_cabinet,kitchen_cabinet,2,counter
42,138,kitchen_cabinet,kitchen_cabinet,2,counter
43,139,shower,shower,2,shower_curtain
44,140,dresser,dresser,2,dresser
45,141,dressing_table,dressing_table,2,desk
46,142,chair,chair,2,chair
47,143,piano,music,2,otherprop
48,144,mirror,mirror,2,mirror
49,145,shoes_cabinet,shoes_cabinet,2,cabinet
50,146,stand,stand,2,night_stand
51,147,stand,stand,2,night_stand
52,148,toys,toys,2,otherprop
53,149,kitchenware,kitchenware,2,otherprop
54,150,toilet,toilet,2,toilet
55,151,stair,stair,1,floor
56,152,stair,stair,1,floor
57,153,rug,rug,2,floor_mat
58,154,kitchenware,kitchenware,2,otherprop
59,155,sofa,sofa,2,sofa
60,156,sofa,sofa,2,sofa
61,157,sofa,sofa,2,sofa
62,166,armchair,armchair,2,chair
63,167,sofa,sofa,2,sofa
64,168,sofa,sofa,2,sofa
65,169,sofa,sofa,2,sofa
66,170,sofa,sofa,2,sofa
67,171,coffee_table,coffee_table,2,table
68,172,coffee_table,coffee_table,2,table
69,173,coffee_table,coffee_table,2,table
70,174,coffee_table,coffee_table,2,table
71,175,wall_lamp,wall_lamp,2,lamp
